instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,day_of_week,season_name,weather_condition,casual_pct,registered_pct
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,2011,1,13,Thursday,Spring,Clear/Partly Cloudy,2.7027027027027026,97.2972972972973
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,2011,1,14,Friday,Spring,Clear/Partly Cloudy,3.8001407459535534,96.19985925404644
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,2011,1,15,Saturday,Spring,Mist/Cloudy,17.78846153846154,82.21153846153845
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,2011,1,16,Sunday,Spring,Clear/Partly Cloudy,20.84717607973422,79.15282392026577
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,2011,1,17,Monday,Spring,Mist/Cloudy,11.700000000000001,88.3
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,2011,1,18,Tuesday,Spring,Mist/Cloudy,1.3177159590043925,98.68228404099561
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,2011,1,19,Wednesday,Spring,Mist/Cloudy,4.7272727272727275,95.27272727272728
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,2011,1,20,Thursday,Spring,Mist/Cloudy,4.307213284898807,95.69278671510119
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,2011,1,21,Friday,Spring,Clear/Partly Cloudy,4.860661049902787,95.13933895009721
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,2011,1,22,Saturday,Spring,Clear/Partly Cloudy,9.480122324159021,90.51987767584097
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,2011,1,23,Sunday,Spring,Clear/Partly Cloudy,15.212981744421908,84.78701825557809
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,2011,1,24,Monday,Spring,Clear/Partly Cloudy,6.073446327683616,93.92655367231639
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,2011,1,25,Tuesday,Spring,Mist/Cloudy,9.370277078085643,90.62972292191435
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,2011,1,26,Wednesday,Spring,Light Precipitation,6.719367588932807,93.2806324110672
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,2011,1,27,Thursday,Spring,Clear/Partly Cloudy,3.480278422273782,96.51972157772622
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,2011,1,28,Friday,Spring,Mist/Cloudy,3.2562125107112254,96.74378748928878
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,2011,1,29,Saturday,Spring,Clear/Partly Cloudy,11.202185792349727,88.79781420765028
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,2011,1,30,Sunday,Spring,Clear/Partly Cloudy,12.773722627737227,87.22627737226277
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,2011,1,31,Monday,Spring,Mist/Cloudy,2.798134576948701,97.2018654230513
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,2011,2,1,Tuesday,Spring,Mist/Cloudy,3.4558823529411766,96.54411764705883
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,2011,2,2,Wednesday,Spring,Mist/Cloudy,4.718217562254259,95.28178243774575
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,2011,2,3,Thursday,Spring,Clear/Partly Cloudy,3.9354838709677415,96.06451612903226
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,2011,2,4,Friday,Spring,Mist/Cloudy,5.152224824355972,94.84777517564403
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,2011,2,5,Saturday,Spring,Mist/Cloudy,9.950248756218906,90.04975124378109
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,2011,2,6,Sunday,Spring,Clear/Partly Cloudy,21.811460258780038,78.18853974121997
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,2011,2,7,Monday,Spring,Clear/Partly Cloudy,7.009345794392523,92.99065420560748
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,2011,2,8,Tuesday,Spring,Clear/Partly Cloudy,4.183006535947712,95.81699346405229
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,2011,2,9,Wednesday,Spring,Mist/Cloudy,3.3021806853582554,96.69781931464175
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,2011,2,10,Thursday,Spring,Clear/Partly Cloudy,3.05591677503251,96.94408322496749
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,2011,2,11,Friday,Spring,Clear/Partly Cloudy,8.533791523482245,91.46620847651775
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,2011,2,12,Saturday,Spring,Clear/Partly Cloudy,19.565217391304348,80.43478260869566
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,2011,2,13,Sunday,Spring,Clear/Partly Cloudy,24.984266834487098,75.0157331655129
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,2011,2,14,Monday,Spring,Clear/Partly Cloudy,10.872974385781495,89.1270256142185
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,2011,2,15,Tuesday,Spring,Clear/Partly Cloudy,7.7134986225895315,92.28650137741047
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,2011,2,16,Wednesday,Spring,Clear/Partly Cloudy,10.307328605200945,89.69267139479905
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,2011,2,17,Thursday,Spring,Clear/Partly Cloudy,10.464646464646464,89.53535353535354
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,2011,2,18,Friday,Spring,Clear/Partly Cloudy,19.781346088144858,80.21865391185514
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,2011,2,19,Saturday,Spring,Clear/Partly Cloudy,32.53822629969419,67.4617737003058
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,2011,2,20,Sunday,Spring,Clear/Partly Cloudy,35.264900662251655,64.73509933774835
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,2011,2,21,Monday,Spring,Mist/Cloudy,17.615176151761517,82.38482384823848
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,2011,2,22,Tuesday,Spring,Clear/Partly Cloudy,5.103448275862069,94.89655172413794
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,2011,2,23,Wednesday,Spring,Clear/Partly Cloudy,7.250912884715702,92.7490871152843
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,2011,2,24,Thursday,Spring,Mist/Cloudy,5.534034311012729,94.46596568898727
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,2011,2,25,Friday,Spring,Mist/Cloudy,8.213552361396303,91.78644763860369
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,2011,2,26,Saturday,Spring,Clear/Partly Cloudy,21.53377348908075,78.46622651091924
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,2011,2,27,Sunday,Spring,Clear/Partly Cloudy,28.892589508742716,71.10741049125728
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,2011,2,28,Monday,Spring,Mist/Cloudy,5.601659751037345,94.39834024896265
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,2011,3,1,Tuesday,Spring,Clear/Partly Cloudy,7.401404646137223,92.59859535386278
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,2011,3,2,Wednesday,Spring,Clear/Partly Cloudy,10.824742268041238,89.17525773195877
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,2011,3,3,Thursday,Spring,Clear/Partly Cloudy,7.299703264094956,92.70029673590504
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,2011,3,4,Friday,Spring,Mist/Cloudy,11.008230452674898,88.9917695473251
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,2011,3,5,Saturday,Spring,Mist/Cloudy,30.813673567645644,69.18632643235436
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,2011,3,6,Sunday,Spring,Mist/Cloudy,18.84297520661157,81.15702479338843
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,2011,3,7,Monday,Spring,Clear/Partly Cloudy,13.034188034188036,86.96581196581197
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,2011,3,8,Tuesday,Spring,Clear/Partly Cloudy,14.814814814814813,85.18518518518519
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,2011,3,9,Wednesday,Spring,Mist/Cloudy,10.100475938656796,89.8995240613432
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,2011,3,10,Thursday,Spring,Light Precipitation,7.3836276083467105,92.61637239165329
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,2011,3,11,Friday,Spring,Mist/Cloudy,12.493677288821447,87.50632271117856
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,2011,3,12,Saturday,Spring,Clear/Partly Cloudy,33.95872420262664,66.04127579737336
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,2011,3,13,Sunday,Spring,Clear/Partly Cloudy,40.628878775341335,59.371121224658665
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,2011,3,14,Monday,Spring,Clear/Partly Cloudy,17.546432062561095,82.4535679374389
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,2011,3,15,Tuesday,Spring,Mist/Cloudy,14.056420233463035,85.94357976653697
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,2011,3,16,Wednesday,Spring,Mist/Cloudy,14.644160583941607,85.3558394160584
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,2011,3,17,Thursday,Spring,Clear/Partly Cloudy,15.451895043731778,84.54810495626822
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,2011,3,18,Friday,Spring,Clear/Partly Cloudy,27.292374189564683,72.70762581043532
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,2011,3,19,Saturday,Spring,Clear/Partly Cloudy,45.68495348091113,54.315046519088874
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,2011,3,20,Sunday,Spring,Clear/Partly Cloudy,42.37150951031971,57.628490489680296
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,2011,3,21,Monday,Summer,Mist/Cloudy,19.306692344727974,80.69330765527202
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,2011,3,22,Tuesday,Summer,Clear/Partly Cloudy,17.01812800591935,82.98187199408065
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,2011,3,23,Wednesday,Summer,Mist/Cloudy,9.570957095709572,90.42904290429043
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,2011,3,24,Thursday,Summer,Mist/Cloudy,8.900804289544235,91.09919571045576
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,2011,3,25,Friday,Summer,Clear/Partly Cloudy,13.574660633484163,86.42533936651584
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,2011,3,26,Saturday,Summer,Clear/Partly Cloudy,39.30288461538461,60.69711538461539
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,2011,3,27,Sunday,Summer,Mist/Cloudy,27.879503839338454,72.12049616066155
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,2011,3,28,Monday,Summer,Clear/Partly Cloudy,10.946745562130179,89.05325443786982
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,2011,3,29,Tuesday,Summer,Clear/Partly Cloudy,13.072164948453608,86.92783505154638
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,2011,3,30,Wednesday,Summer,Mist/Cloudy,10.9375,89.0625
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,2011,3,31,Thursday,Summer,Light Precipitation,10.623145400593472,89.37685459940653
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,2011,4,1,Friday,Summer,Mist/Cloudy,13.785361472833408,86.21463852716658
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,2011,4,2,Saturday,Summer,Mist/Cloudy,39.87566607460036,60.12433392539964
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,2011,4,3,Sunday,Summer,Clear/Partly Cloudy,50.81563558017852,49.184364419821485
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,2011,4,4,Monday,Summer,Clear/Partly Cloudy,23.563402889245584,76.4365971107544
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,2011,4,5,Tuesday,Summer,Mist/Cloudy,9.303621169916434,90.69637883008357
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,2011,4,6,Wednesday,Summer,Clear/Partly Cloudy,14.707977207977208,85.29202279202279
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,2011,4,7,Thursday,Summer,Clear/Partly Cloudy,18.178923909582938,81.82107609041707
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,2011,4,8,Friday,Summer,Mist/Cloudy,11.692726036709722,88.30727396329027
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,2011,4,9,Saturday,Summer,Mist/Cloudy,35.80448065173116,64.19551934826883
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,2011,4,10,Sunday,Summer,Mist/Cloudy,41.03626943005182,58.96373056994819
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,2011,4,11,Monday,Summer,Mist/Cloudy,25.537634408602152,74.46236559139786
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,2011,4,12,Tuesday,Summer,Mist/Cloudy,12.63520157325467,87.36479842674532
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,2011,4,13,Wednesday,Summer,Mist/Cloudy,9.666975023126735,90.33302497687326
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,2011,4,14,Thursday,Summer,Clear/Partly Cloudy,16.192225283134373,83.80777471686562
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,2011,4,15,Friday,Summer,Clear/Partly Cloudy,20.537428023032632,79.46257197696737
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,2011,4,16,Saturday,Summer,Light Precipitation,15.220125786163521,84.77987421383648
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,2011,4,17,Sunday,Summer,Clear/Partly Cloudy,41.613247863247864,58.38675213675214
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,2011,4,18,Monday,Summer,Clear/Partly Cloudy,19.510061242344705,80.4899387576553
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,2011,4,19,Tuesday,Summer,Mist/Cloudy,12.765293383270912,87.23470661672908
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,2011,4,20,Wednesday,Summer,Clear/Partly Cloudy,15.542596348884382,84.45740365111561
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,2011,4,21,Thursday,Summer,Clear/Partly Cloudy,17.78467414657436,82.21532585342564
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,2011,4,22,Friday,Summer,Mist/Cloudy,10.51693404634581,89.48306595365419
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,2011,4,23,Saturday,Summer,Mist/Cloudy,36.22398414271556,63.77601585728444
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,2011,4,24,Sunday,Summer,Mist/Cloudy,40.8017179670723,59.19828203292771
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,2011,4,25,Monday,Summer,Clear/Partly Cloudy,18.978639823226125,81.02136017677388
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,2011,4,26,Tuesday,Summer,Clear/Partly Cloudy,15.409090909090908,84.5909090909091
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,2011,4,27,Wednesday,Summer,Mist/Cloudy,14.12706611570248,85.87293388429752
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,2011,4,28,Thursday,Summer,Mist/Cloudy,14.02168555938886,85.97831444061114
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,2011,4,29,Friday,Summer,Clear/Partly Cloudy,19.10772578890098,80.89227421109902
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,2011,4,30,Saturday,Summer,Clear/Partly Cloudy,36.99171686746988,63.00828313253012
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,2011,5,1,Sunday,Summer,Mist/Cloudy,33.9600119367353,66.0399880632647
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,2011,5,2,Monday,Summer,Mist/Cloudy,19.24562599409225,80.75437400590775
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,2011,5,3,Tuesday,Summer,Mist/Cloudy,13.54751741181757,86.45248258818243
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,2011,5,4,Wednesday,Summer,Mist/Cloudy,9.684770224078997,90.315229775921
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,2011,5,5,Thursday,Summer,Clear/Partly Cloudy,13.85066546356869,86.14933453643131
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,2011,5,6,Friday,Summer,Clear/Partly Cloudy,19.401041666666664,80.59895833333334
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,2011,5,7,Saturday,Summer,Clear/Partly Cloudy,34.19601187950785,65.80398812049215
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,2011,5,8,Sunday,Summer,Clear/Partly Cloudy,32.3332564043388,67.6667435956612
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,2011,5,9,Monday,Summer,Clear/Partly Cloudy,15.222375057313158,84.77762494268684
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,2011,5,10,Tuesday,Summer,Clear/Partly Cloudy,14.449302519258797,85.5506974807412
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,2011,5,11,Wednesday,Summer,Clear/Partly Cloudy,13.151602104256337,86.84839789574367
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,2011,5,12,Thursday,Summer,Clear/Partly Cloudy,14.288651315789474,85.71134868421053
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,2011,5,13,Friday,Summer,Mist/Cloudy,16.857490864799026,83.14250913520097
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,2011,5,14,Saturday,Summer,Mist/Cloudy,26.459372249926666,73.54062775007334
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,2011,5,15,Sunday,Summer,Mist/Cloudy,34.74632110696244,65.25367889303756
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,2011,5,16,Monday,Summer,Clear/Partly Cloudy,19.530065689742294,80.46993431025771
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,2011,5,17,Tuesday,Summer,Mist/Cloudy,16.444336648071793,83.55566335192822
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,2011,5,18,Wednesday,Summer,Mist/Cloudy,13.90402075226978,86.09597924773023
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,2011,5,19,Thursday,Summer,Mist/Cloudy,16.065573770491802,83.93442622950819
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,2011,5,20,Friday,Summer,Clear/Partly Cloudy,18.48688224527151,81.5131177547285
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,2011,5,21,Saturday,Summer,Clear/Partly Cloudy,38.897502153316104,61.10249784668389
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,2011,5,22,Sunday,Summer,Clear/Partly Cloudy,33.81974248927039,66.18025751072962
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,2011,5,23,Monday,Summer,Mist/Cloudy,19.560131024801123,80.43986897519888
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,2011,5,24,Tuesday,Summer,Mist/Cloudy,14.67052537845058,85.32947462154942
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,2011,5,25,Wednesday,Summer,Clear/Partly Cloudy,14.865407794294896,85.1345922057051
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,2011,5,26,Thursday,Summer,Clear/Partly Cloudy,16.206970280094076,83.79302971990592
